"nm_municipio";"nm_uf";"oper";"ano";"trabalhadores_resgatados"
"Comodoro";"Mato Grosso";89;2008;6
"Santo Antônio do Amparo";"Minas Gerais";90;2008;0
"Ipiranga do Norte";"Mato Grosso";91;2008;6
"Montes Claros de Goiás";"Goiás";92;2008;12
"Dois Irmãos do Buriti";"Mato Grosso do Sul";93;2008;6
"General Carneiro";"Paraná";94;2008;10
"Ribeirão Cascalheira";"Mato Grosso";95;2008;4
"Curionópolis";"Pará";96;2008;0
"Belém";"Pará";96;2008;0
"Curionópolis";"Pará";96;2008;2
"Balneário Barra do Sul";"Santa Catarina";97;2008;28
"Luiz Alves";"Santa Catarina";97;2008;0
"Araquari";"Santa Catarina";97;2008;6
"Corupá";"Santa Catarina";97;2008;0
"Garuva";"Santa Catarina";97;2008;0
"Araquari";"Santa Catarina";97;2008;0
"Itapoá";"Santa Catarina";97;2008;0
"Araquari";"Santa Catarina";97;2008;0
"Araquari";"Santa Catarina";97;2008;0
"Confresa";"Mato Grosso";98;2008;7
"Marabá";"Pará";99;2008;0
"Marabá";"Pará";99;2008;0
"Itupiranga";"Pará";99;2008;0
"Marabá";"Pará";99;2008;0
"Marabá";"Pará";99;2008;0
"Goianésia do Pará";"Pará";99;2008;10
"São Desidério";"Bahia";100;2008;12
"Boca do Acre";"Amazonas";101;2008;8
"Lábrea";"Amazonas";101;2008;8
"Porto Velho";"Rondônia";101;2008;23
"São Sebastião do Paraíso";"Minas Gerais";102;2008;0
"São Sebastião do Paraíso";"Minas Gerais";102;2008;0
"São Sebastião do Paraíso";"Minas Gerais";102;2008;8
"São Sebastião do Paraíso";"Minas Gerais";102;2008;0
"São Sebastião do Paraíso";"Minas Gerais";102;2008;0
"Guaranésia";"Minas Gerais";103;2008;33
"São Félix do Xingu";"Pará";104;2008;6
"Água Azul do Norte";"Pará";104;2008;0
"Passos Maia";"Santa Catarina";105;2008;20
"Pratânia";"São Paulo";106;2008;21
"União da Vitória";"Paraná";107;2008;8
"Porto União";"Santa Catarina";107;2008;7
"Calmon";"Santa Catarina";107;2008;0
"Porto Vitória";"Paraná";107;2008;0
"União da Vitória";"Paraná";107;2008;0
"Abel Figueiredo";"Pará";108;2008;0
"Abel Figueiredo";"Pará";108;2008;7
"Abel Figueiredo";"Pará";108;2008;3
"Abel Figueiredo";"Pará";108;2008;9
"Rondon do Pará";"Pará";108;2008;11
"Rondon do Pará";"Pará";108;2008;21
"São Félix do Xingu";"Pará";109;2008;13
"Ourilândia do Norte";"Pará";109;2008;7
"Água Azul do Norte";"Pará";109;2008;6
"São Félix do Xingu";"Pará";109;2008;5
"Juara";"Mato Grosso";110;2008;10
"Conceição das Alagoas";"Minas Gerais";111;2008;0
"Capitão Poço";"Pará";112;2008;0
"Açailândia";"Maranhão";113;2008;3
"Açailândia";"Maranhão";113;2008;0
"Açailândia";"Maranhão";113;2008;7
"Açailândia";"Maranhão";113;2008;16
"Ribeirão";"Pernambuco";114;2008;9
"Tapurah";"Mato Grosso";115;2008;9
"Tapurah";"Mato Grosso";115;2008;16
"Tapurah";"Mato Grosso";115;2008;0
"Tapurah";"Mato Grosso";115;2008;44
"Balsas";"Maranhão";116;2008;9
"Placas";"Pará";117;2008;88
"Parambu";"Ceará";118;2008;51
"Parnaguá";"Piauí";119;2008;10
"Corrente";"Piauí";119;2008;5
"Tailândia";"Pará";120;2008;4
"Cerro Azul";"Paraná";121;2008;7
"Cerro Azul";"Paraná";121;2008;9
"Cerro Azul";"Paraná";121;2008;16
"Cerro Azul";"Paraná";122;2008;8
"Cerro Azul";"Paraná";122;2008;0
"Pontes e Lacerda";"Mato Grosso";123;2008;0
"Pontes e Lacerda";"Mato Grosso";123;2008;0
"Pontes e Lacerda";"Mato Grosso";123;2008;0
"Pontes e Lacerda";"Mato Grosso";123;2008;0
"Pontes e Lacerda";"Mato Grosso";123;2008;0
"Glória D'Oeste";"Mato Grosso";123;2008;0
"Pontes e Lacerda";"Mato Grosso";123;2008;10
"Palmares";"Pernambuco";124;2008;0
"Palmares";"Pernambuco";124;2008;59
"Palmares";"Pernambuco";124;2008;241
"Ortigueira";"Paraná";125;2008;0
"Fernandes Pinheiro";"Paraná";125;2008;0
"Irati";"Paraná";125;2008;22
"Irati";"Paraná";125;2008;0
"Irati";"Paraná";125;2008;10
"Irati";"Paraná";125;2008;0
"Irati";"Paraná";125;2008;7
"Irati";"Paraná";125;2008;12
"Monte Alegre do Piauí";"Piauí";126;2008;17
"Eldorado dos Carajás";"Pará";127;2008;6
"Bonito";"Mato Grosso do Sul";128;2008;4
"Poconé";"Mato Grosso";129;2008;0
"Cacequi";"Rio Grande do Sul";130;2008;4
"São Miguel do Guamá";"Pará";131;2008;0
"Conceição da Barra";"Espírito Santo";132;2008;64
"Pedro Canário";"Espírito Santo";132;2008;25
"Santa Luzia do Pará";"Pará";133;2008;32
"Engenheiro Coelho";"São Paulo";134;2008;12
"Moji Mirim";"São Paulo";135;2008;10
"Açailândia";"Maranhão";136;2008;0
"Antônio Almeida";"Piauí";137;2008;8
"Porto Estrela";"Mato Grosso";138;2008;12
"Tabaporã";"Mato Grosso";139;2008;21
"Pequizeiro";"Tocantins";140;2008;0
"Arapoema";"Tocantins";140;2008;0
"Arapoema";"Tocantins";140;2008;0
"Carmolândia";"Tocantins";141;2008;0
"Nova Olinda";"Tocantins";141;2008;0
"Bernardo Sayão";"Tocantins";141;2008;0
"Calçoene";"Amapá";142;2008;0
"Calçoene";"Amapá";142;2008;0
"Tartarugalzinho";"Amapá";142;2008;0
"Nortelândia";"Mato Grosso";143;2008;1
"Nortelândia";"Mato Grosso";143;2008;2
"Nortelândia";"Mato Grosso";143;2008;32
"Nova Mutum";"Mato Grosso";143;2008;12
"Nova Mutum";"Mato Grosso";143;2008;12
"Tomé-Açu";"Pará";144;2008;22
"Tomé-Açu";"Pará";144;2008;3
"Tomé-Açu";"Pará";144;2008;21
"Rio de Janeiro";"Rio de Janeiro";145;2008;46
"Governador Edison Lobão";"Maranhão";146;2008;10
"Morro Cabeça no Tempo";"Piauí";147;2008;44
"Riachão das Neves";"Bahia";148;2008;38
"Antônio Almeida";"Piauí";149;2008;10
"Jequitinhonha";"Minas Gerais";150;2008;7
"Pedra Azul";"Minas Gerais";151;2008;9
"Pedra Azul";"Minas Gerais";151;2008;9
"Jequitinhonha";"Minas Gerais";152;2008;4
"Corguinho";"Mato Grosso do Sul";153;2008;13
"Ananás";"Tocantins";154;2008;10
"Xambioá";"Tocantins";154;2008;12
"São Félix do Araguaia";"Mato Grosso";155;2008;0
"São Félix do Araguaia";"Mato Grosso";155;2008;0
"São Félix do Araguaia";"Mato Grosso";155;2008;0
"Dom Aquino";"Mato Grosso";156;2008;0
"Colniza";"Mato Grosso";157;2008;0
"Colniza";"Mato Grosso";157;2008;0
"Colniza";"Mato Grosso";157;2008;0
"Colniza";"Mato Grosso";157;2008;0
"Carlinda";"Mato Grosso";158;2008;0
"Luís Eduardo Magalhães";"Bahia";159;2008;0
"Lebon Régis";"Santa Catarina";1;2009;20
"Lebon Régis";"Santa Catarina";1;2009;0
"Jacundá";"Pará";2;2009;6
"Marabá";"Pará";2;2009;11
"Novo Repartimento";"Pará";2;2009;8
"São Félix do Xingu";"Pará";3;2009;46
"Sorriso";"Mato Grosso";4;2009;9
"Lucas do Rio Verde";"Mato Grosso";4;2009;6
"Tapurah";"Mato Grosso";5;2009;18
"Lagoa de Itaenga";"Pernambuco";6;2009;0
"Aliança";"Pernambuco";6;2009;252
"Cerro Azul";"Paraná";7;2009;0
"Adrianópolis";"Paraná";7;2009;12
"Cerro Azul";"Paraná";7;2009;0
"Cerro Azul";"Paraná";7;2009;0
"Cerro Azul";"Paraná";7;2009;0
"Cerro Azul";"Paraná";7;2009;0
"Coelho Neto";"Maranhão";8;2009;13
"Jaboatão dos Guararapes";"Pernambuco";9;2009;0
"Jaboatão dos Guararapes";"Pernambuco";9;2009;0
"Jaboatão dos Guararapes";"Pernambuco";9;2009;0
"Primavera";"Pernambuco";10;2009;0
"Arapoema";"Tocantins";11;2009;0
"Araguaína";"Tocantins";11;2009;1
"Araguaína";"Tocantins";11;2009;13
"Carmolândia";"Tocantins";11;2009;0
"Arapoema";"Tocantins";11;2009;0
"Araputanga";"Mato Grosso";12;2009;6
"Lebon Régis";"Santa Catarina";13;2009;2
"Lebon Régis";"Santa Catarina";13;2009;16
"Açailândia";"Maranhão";14;2009;0
"Açailândia";"Maranhão";14;2009;0
"Bom Jesus das Selvas";"Maranhão";14;2009;13
"Açailândia";"Maranhão";14;2009;0
"Açailândia";"Maranhão";14;2009;0
"Açailândia";"Maranhão";14;2009;0
"Açailândia";"Maranhão";14;2009;0
"São Mateus do Sul";"Paraná";15;2009;4
"São Mateus do Sul";"Paraná";15;2009;0
"Cianorte";"Paraná";16;2009;0
"Cianorte";"Paraná";16;2009;0
"São Tomé";"Paraná";16;2009;0
"Araguaína";"Tocantins";17;2009;0
"Araguaína";"Tocantins";17;2009;0
"Xambioá";"Tocantins";17;2009;0
"Ananás";"Tocantins";17;2009;0
"Xambioá";"Tocantins";17;2009;0
"Ananás";"Tocantins";17;2009;0
"Campo Alegre de Goiás";"Goiás";18;2009;2
"Catalão";"Goiás";18;2009;10
"Santa Rita do Trivelato";"Mato Grosso";19;2009;0
"Nova Ubiratã";"Mato Grosso";19;2009;0
"Lucas do Rio Verde";"Mato Grosso";19;2009;0
"Sorriso";"Mato Grosso";19;2009;0
"Sinop";"Mato Grosso";19;2009;0
"Vera";"Mato Grosso";19;2009;0
"Sorriso";"Mato Grosso";19;2009;0
"Tapurah";"Mato Grosso";19;2009;0
"Nova Ubiratã";"Mato Grosso";19;2009;0
"Lucas do Rio Verde";"Mato Grosso";19;2009;0
"Tapurah";"Mato Grosso";19;2009;0
"Cachoeirinha";"Tocantins";20;2009;0
"Axixá do Tocantins";"Tocantins";20;2009;0
"Ananás";"Tocantins";20;2009;0
"Araguatins";"Tocantins";20;2009;0
"Ananás";"Tocantins";20;2009;0
"Axixá do Tocantins";"Tocantins";20;2009;0
"Amaralina";"Goiás";21;2009;0
"Santa Terezinha de Goiás";"Goiás";21;2009;0
"São Miguel do Araguaia";"Goiás";21;2009;0
"Mutunópolis";"Goiás";21;2009;0
"Santa Terezinha de Goiás";"Goiás";21;2009;0
"Formoso";"Goiás";21;2009;0
"Formoso";"Goiás";21;2009;0
"Santa Terezinha de Goiás";"Goiás";21;2009;0
"Brasnorte";"Mato Grosso";22;2009;12
"Rosário Oeste";"Mato Grosso";22;2009;11
"Rosário Oeste";"Mato Grosso";22;2009;0
"Moji Mirim";"São Paulo";23;2009;17
"Escada";"Pernambuco";24;2009;39
"Correntina";"Bahia";25;2009;14
"Ipixuna do Pará";"Pará";26;2009;6
"Paragominas";"Pará";26;2009;5
"Paragominas";"Pará";26;2009;13
"Paragominas";"Pará";26;2009;0
"Brasnorte";"Mato Grosso";27;2009;0
"Brasnorte";"Mato Grosso";27;2009;0
"Campo Novo do Parecis";"Mato Grosso";27;2009;0
"Brasnorte";"Mato Grosso";27;2009;0
"Brasnorte";"Mato Grosso";27;2009;0
"Brasnorte";"Mato Grosso";27;2009;0
"Maracaju";"Mato Grosso do Sul";28;2009;0
"Maracaju";"Mato Grosso do Sul";28;2009;0
"Maracaju";"Mato Grosso do Sul";28;2009;0
"Codó";"Maranhão";29;2009;37
"Parauapebas";"Pará";30;2009;8
"Parauapebas";"Pará";30;2009;0
"Uruguaiana";"Rio Grande do Sul";31;2009;4
"Caseara";"Tocantins";32;2009;274
"São João do Triunfo";"Paraná";33;2009;9
"São João do Triunfo";"Paraná";33;2009;12
"Palmeira";"Paraná";33;2009;0
"Florianópolis";"Santa Catarina";34;2009;0
"Pium";"Tocantins";35;2009;0
"Pium";"Tocantins";35;2009;0
"Araguaína";"Tocantins";35;2009;0
"Araguanã";"Tocantins";35;2009;0
"Carmolândia";"Tocantins";35;2009;0
"Barra do Garças";"Mato Grosso";36;2009;0
"Itupiranga";"Pará";37;2009;0
"Xinguara";"Pará";37;2009;6
"Calmon";"Santa Catarina";38;2009;0
"Calmon";"Santa Catarina";38;2009;0
"Alegre";"Espírito Santo";39;2009;6
"Bujari";"Acre";40;2009;5
"Limeira do Oeste";"Minas Gerais";41;2009;99
"Bom Jesus do Tocantins";"Pará";42;2009;10
"Chapadão do Sul";"Mato Grosso do Sul";43;2009;14
"Serranópolis";"Goiás";44;2009;3
"Serranópolis";"Goiás";44;2009;2
"Araguaína";"Tocantins";45;2009;0
"Araguaína";"Tocantins";45;2009;0
"Araguaína";"Tocantins";45;2009;5
"Colinas do Tocantins";"Tocantins";45;2009;4
"Amaraji";"Pernambuco";46;2009;45
"Campo Verde";"Mato Grosso";47;2009;0
"Dom Aquino";"Mato Grosso";47;2009;0
"Itiquira";"Mato Grosso";47;2009;0
"Guiratinga";"Mato Grosso";47;2009;0
"Pedra Preta";"Mato Grosso";47;2009;0
"Paranatinga";"Mato Grosso";47;2009;0
"Campo Verde";"Mato Grosso";47;2009;0
"Jaciara";"Mato Grosso";47;2009;0
"Jaborandi";"Bahia";48;2009;174
"Cáceres";"Mato Grosso";49;2009;5
"Abel Figueiredo";"Pará";50;2009;0
"Abel Figueiredo";"Pará";50;2009;0
"Doutor Ulysses";"Paraná";51;2009;0
"Doutor Ulysses";"Paraná";51;2009;0
"Doutor Ulysses";"Paraná";51;2009;0
"Doutor Ulysses";"Paraná";51;2009;0
"Doutor Ulysses";"Paraná";51;2009;0
"Doutor Ulysses";"Paraná";51;2009;6
"Doutor Ulysses";"Paraná";51;2009;4
"Doutor Ulysses";"Paraná";51;2009;19
"Doutor Ulysses";"Paraná";51;2009;0
"Doutor Ulysses";"Paraná";51;2009;0
"Doutor Ulysses";"Paraná";51;2009;0
"São Mateus";"Espírito Santo";52;2009;75
"Sapucaia";"Pará";53;2009;0
"Cerro Azul";"Paraná";54;2009;0
"Moreno";"Pernambuco";55;2009;40
"Ourilândia do Norte";"Pará";56;2009;16
"Pontal do Araguaia";"Mato Grosso";57;2009;23
"Bujari";"Acre";58;2009;3
"Rondon";"Paraná";59;2009;0
"Novo Repartimento";"Pará";60;2009;5
"Pacajá";"Pará";60;2009;0
"Jaguariaíva";"Paraná";61;2009;0
"Jaguariaíva";"Paraná";61;2009;0
"São João do Triunfo";"Paraná";62;2009;4
"Bujari";"Acre";63;2009;1
"Pacajá";"Pará";64;2009;4
"Novo Repartimento";"Pará";64;2009;2
"Campo Grande";"Mato Grosso do Sul";65;2009;8
"Vilhena";"Rondônia";66;2009;1
"Vilhena";"Rondônia";66;2009;0
"Campos dos Goytacazes";"Rio de Janeiro";67;2009;280
"Colméia";"Tocantins";68;2009;8
"Campos dos Goytacazes";"Rio de Janeiro";69;2009;81
"Campos dos Goytacazes";"Rio de Janeiro";69;2009;0
"Goianésia do Pará";"Pará";70;2009;9
"Goianésia do Pará";"Pará";70;2009;9
"Paracatu";"Minas Gerais";71;2009;170
"São Domingos";"Santa Catarina";72;2009;0
"Araguaçu";"Tocantins";73;2009;28
"Figueirópolis";"Tocantins";73;2009;0
"São Félix do Xingu";"Pará";74;2009;8
"Mairipotaba";"Goiás";75;2009;0
"Pocrane";"Minas Gerais";76;2009;1
"Bonito";"Pará";77;2009;0
"Bonito";"Pará";77;2009;0
"Nova Canaã do Norte";"Mato Grosso";78;2009;11
"Açailândia";"Maranhão";79;2009;0
"Alto Alegre do Pindaré";"Maranhão";79;2009;8
"Açailândia";"Maranhão";79;2009;0
"General Carneiro";"Paraná";80;2009;0
"Cruz Machado";"Paraná";80;2009;0
"General Carneiro";"Paraná";80;2009;36
"Rosário Oeste";"Mato Grosso";81;2009;10
"Paranaíta";"Mato Grosso";81;2009;10
"Nova Monte Verde";"Mato Grosso";81;2009;4
"Mostardas";"Rio Grande do Sul";82;2009;6
"São José do Norte";"Rio Grande do Sul";82;2009;5
"Mostardas";"Rio Grande do Sul";82;2009;3
"Tomé-Açu";"Pará";83;2009;0
"Tomé-Açu";"Pará";83;2009;0
"Tomé-Açu";"Pará";83;2009;0
"Tomé-Açu";"Pará";83;2009;0
"Tomé-Açu";"Pará";83;2009;0
"Placas";"Pará";84;2009;5
"Marabá";"Pará";85;2009;0
"Marabá";"Pará";85;2009;18
"Marabá";"Pará";85;2009;5
"Santa Luzia";"Maranhão";86;2009;27
"Conceição da Barra";"Espírito Santo";87;2009;0
"Conceição da Barra";"Espírito Santo";87;2009;0
"Conceição da Barra";"Espírito Santo";87;2009;0
"Conceição da Barra";"Espírito Santo";87;2009;0
"Conceição da Barra";"Espírito Santo";87;2009;0
"Conceição da Barra";"Espírito Santo";87;2009;0
"Viseu";"Pará";88;2009;0
"Viseu";"Pará";88;2009;0
"Jaborandi";"Bahia";89;2009;8
"Itupiranga";"Pará";90;2009;29
"Abel Figueiredo";"Pará";90;2009;3
"Abel Figueiredo";"Pará";90;2009;12
"Moju";"Pará";91;2009;7
"Goianésia do Pará";"Pará";91;2009;18
"Joviânia";"Goiás";92;2009;15
"São Gotardo";"Minas Gerais";93;2009;14
"Uruará";"Pará";94;2009;0
"Placas";"Pará";94;2009;0
"Placas";"Pará";94;2009;0
"Brasnorte";"Mato Grosso";95;2009;2
"Tucumã";"Pará";96;2009;4
"São Félix do Xingu";"Pará";96;2009;0
"São Félix do Xingu";"Pará";96;2009;0
"Eldorado dos Carajás";"Pará";96;2009;11
"Bituruna";"Paraná";97;2009;0
"Bituruna";"Paraná";97;2009;14
"Bituruna";"Paraná";97;2009;0
"Bituruna";"Paraná";97;2009;11
"Caçu";"Goiás";98;2009;96
"Rio Branco";"Acre";99;2009;1
"Sebastião Laranjeiras";"Bahia";100;2009;70
"Inhumas";"Goiás";101;2009;0
"Calmon";"Santa Catarina";102;2009;7
"Calmon";"Santa Catarina";102;2009;25
"Tailândia";"Pará";103;2009;0
"Breu Branco";"Pará";103;2009;0
"Goianésia do Pará";"Pará";103;2009;0
"Montividiu do Norte";"Goiás";104;2009;0
"Minaçu";"Goiás";104;2009;38
"Trombas";"Goiás";104;2009;0
"Sapezal";"Mato Grosso";105;2009;78
"Bom Jardim";"Maranhão";106;2009;2
"Rondon do Pará";"Pará";106;2009;0
"Rondon do Pará";"Pará";106;2009;7
"Rondon do Pará";"Pará";106;2009;7
"Carutapera";"Maranhão";106;2009;1
"Confresa";"Mato Grosso";107;2009;0
"Porto Alegre do Norte";"Mato Grosso";107;2009;0
"Confresa";"Mato Grosso";107;2009;55
"Parauapebas";"Pará";108;2009;0
"Parauapebas";"Pará";108;2009;0
"Parauapebas";"Pará";108;2009;0
"São Desidério";"Bahia";109;2009;14
"Cláudio";"Minas Gerais";110;2009;80
"Itapecuru Mirim";"Maranhão";111;2009;0
"Itapecuru Mirim";"Maranhão";111;2009;0
"Itapecuru Mirim";"Maranhão";111;2009;0
"Itapecuru Mirim";"Maranhão";111;2009;0
"Porto Esperidião";"Mato Grosso";112;2009;11
"Vila Boa";"Goiás";113;2009;0
"Vila Boa";"Goiás";113;2009;0
"Vila Boa";"Goiás";113;2009;0
"Nova Ubiratã";"Mato Grosso";114;2009;4
"Capinzal do Norte";"Maranhão";115;2009;29
"Vila Rica";"Mato Grosso";116;2009;4
"Clevelândia";"Paraná";117;2009;24
"General Carneiro";"Paraná";117;2009;0
"General Carneiro";"Paraná";117;2009;12
"São Gonçalo do Amarante";"Ceará";118;2009;20
"Altamira";"Pará";119;2009;0
"Trairão";"Pará";119;2009;6
"Bom Jesus do Araguaia";"Mato Grosso";120;2009;7
"Nova Mutum";"Mato Grosso";121;2009;2
"Campos dos Goytacazes";"Rio de Janeiro";122;2009;38
"Garça";"São Paulo";123;2009;21
"Garça";"São Paulo";123;2009;0
"Vera Cruz";"São Paulo";123;2009;0
"Garça";"São Paulo";123;2009;0
"Garça";"São Paulo";123;2009;0
"Bituruna";"Paraná";124;2009;11
"Coronel Domingos Soares";"Paraná";124;2009;9
"Cerro Azul";"Paraná";125;2009;40
"São Desidério";"Bahia";126;2009;0
"São Desidério";"Bahia";126;2009;0
"Formosa do Rio Preto";"Bahia";126;2009;5
"São Desidério";"Bahia";126;2009;0
"Formosa do Rio Preto";"Bahia";126;2009;0
"Itapecuru Mirim";"Maranhão";127;2009;0
"Itapecuru Mirim";"Maranhão";127;2009;0
"Chapadinha";"Maranhão";127;2009;0
"Itapecuru Mirim";"Maranhão";127;2009;0
"Campos dos Goytacazes";"Rio de Janeiro";128;2009;122
"Porto Velho";"Rondônia";129;2009;5
"Nova Monte Verde";"Mato Grosso";130;2009;17
"Nova Lacerda";"Mato Grosso";131;2009;3
"Anapu";"Pará";132;2009;0
"Anapu";"Pará";132;2009;7
"Anapu";"Pará";132;2009;0
"Cantá";"Roraima";133;2009;26
"Vila Propício";"Goiás";134;2009;4
"Vila Propício";"Goiás";134;2009;9
"Vila Propício";"Goiás";134;2009;4
"Vila Propício";"Goiás";134;2009;7
"Sengés";"Paraná";135;2009;0
"Jaguariaíva";"Paraná";135;2009;0
"Sengés";"Paraná";135;2009;0
"Vila Velha";"Espírito Santo";136;2009;18
"Vianópolis";"Goiás";137;2009;23
"Capitão Poço";"Pará";138;2009;6
"Tomé-Açu";"Pará";138;2009;5
"Capitão Poço";"Pará";138;2009;0
"Palmeiras do Tocantins";"Tocantins";139;2009;20
"São Geraldo do Araguaia";"Pará";139;2009;1
"Escada";"Pernambuco";140;2009;50
"São Félix do Xingu";"Pará";141;2009;4
"Xinguara";"Pará";141;2009;0
"Corrente";"Piauí";142;2009;11
"Curvelo";"Minas Gerais";143;2009;46
"Trombas";"Goiás";144;2009;0
"Trombas";"Goiás";144;2009;0
"Corumbá de Goiás";"Goiás";145;2009;0
"Xapuri";"Acre";146;2009;4
"Patrocínio";"Minas Gerais";147;2009;11
"Turvelândia";"Goiás";148;2009;0
"Itumbiara";"Goiás";148;2009;0
"Maurilândia";"Goiás";148;2009;0
"Maurilândia";"Goiás";148;2009;0
"Maurilândia";"Goiás";148;2009;0
"Maurilândia";"Goiás";148;2009;0
"Maurilândia";"Goiás";148;2009;0
"Imbuia";"Santa Catarina";149;2009;28
"Barra da Estiva";"Bahia";150;2009;0
"Ituaçu";"Bahia";150;2009;0
"Peritoró";"Maranhão";151;2009;24
"Governador Archer";"Maranhão";151;2009;7
"Ji-Paraná";"Rondônia";152;2009;53
"Lagoa da Prata";"Minas Gerais";153;2009;0
"Buritis";"Rondônia";154;2009;0
"Porto Velho";"Rondônia";155;2009;15
"São Félix do Xingu";"Pará";156;2009;0
"São Félix do Xingu";"Pará";156;2009;0
"São Félix do Xingu";"Pará";156;2009;0
"Bananal";"São Paulo";157;2009;0
"Bananal";"São Paulo";157;2009;0
"Bananal";"São Paulo";157;2009;0
"Bananal";"São Paulo";157;2009;1
"Contagem";"Minas Gerais";158;2009;6
"Monte Alegre de Goiás";"Goiás";1;2010;3
"Monte Alegre de Goiás";"Goiás";1;2010;5
"Natividade";"Tocantins";1;2010;26
"Marabá";"Pará";2;2010;2
"Santa Maria das Barreiras";"Pará";3;2010;28
"Araguari";"Minas Gerais";4;2010;13
"Curionópolis";"Pará";5;2010;0
"Conceição do Araguaia";"Pará";5;2010;4
"Guaratuba";"Paraná";6;2010;0
"Guaratuba";"Paraná";6;2010;0
"Porto Acre";"Acre";7;2010;8
"Porto Velho";"Rondônia";8;2010;8
"Bom Jesus";"Rio Grande do Sul";9;2010;24
"São Félix do Xingu";"Pará";10;2010;6
"Altamira";"Pará";10;2010;7
"Araguacema";"Tocantins";10;2010;6
"Rondon do Pará";"Pará";11;2010;61
"Rondon do Pará";"Pará";11;2010;0
"Rondon do Pará";"Pará";11;2010;0
"Rondon do Pará";"Pará";11;2010;0
"Tabaporã";"Mato Grosso";12;2010;0
"Apiacás";"Mato Grosso";12;2010;0
"Vila Rica";"Mato Grosso";13;2010;5
"São Félix do Xingu";"Pará";13;2010;0
"Aragarças";"Goiás";14;2010;143
"Itupiranga";"Pará";15;2010;1
"Aporé";"Goiás";16;2010;0
"Aporé";"Goiás";16;2010;0
"Aporé";"Goiás";16;2010;0
"Aporé";"Goiás";16;2010;0
"Aporé";"Goiás";16;2010;0
"Rio Branco do Sul";"Paraná";17;2010;0
"Rio Branco do Sul";"Paraná";17;2010;0
"Rio Branco do Sul";"Paraná";17;2010;0
"Itaperuçu";"Paraná";17;2010;0
"Tijucas do Sul";"Paraná";17;2010;0
"Rio Branco do Sul";"Paraná";17;2010;0
"Rio Branco do Sul";"Paraná";17;2010;0
"Campina Grande do Sul";"Paraná";17;2010;0
"Britânia";"Goiás";18;2010;17
"Britânia";"Goiás";18;2010;13
"Britânia";"Goiás";18;2010;8
"Britânia";"Goiás";18;2010;5
"Britânia";"Goiás";18;2010;10
"Britânia";"Goiás";18;2010;29
"São Félix do Xingu";"Pará";19;2010;5
"São Félix do Xingu";"Pará";19;2010;2
"Cumaru do Norte";"Pará";19;2010;8
"Cumaru do Norte";"Pará";19;2010;8
"Cosmorama";"São Paulo";20;2010;0
"São Joaquim";"Santa Catarina";21;2010;154
"Luís Eduardo Magalhães";"Bahia";22;2010;44
"Luís Eduardo Magalhães";"Bahia";23;2010;0
"Luís Eduardo Magalhães";"Bahia";23;2010;0
"Luís Eduardo Magalhães";"Bahia";23;2010;0
"Luís Eduardo Magalhães";"Bahia";23;2010;0
"Luís Eduardo Magalhães";"Bahia";23;2010;0
"Luís Eduardo Magalhães";"Bahia";23;2010;0
"Luís Eduardo Magalhães";"Bahia";23;2010;0
"Luís Eduardo Magalhães";"Bahia";23;2010;0
"Luís Eduardo Magalhães";"Bahia";23;2010;0
"Luís Eduardo Magalhães";"Bahia";23;2010;0
"São Desidério";"Bahia";23;2010;0
"Dom Eliseu";"Pará";24;2010;0
"Dom Eliseu";"Pará";24;2010;2
"Dom Eliseu";"Pará";24;2010;0
"Dom Eliseu";"Pará";24;2010;0
"Dom Eliseu";"Pará";24;2010;0
"Apiacás";"Mato Grosso";25;2010;0
"Apiacás";"Mato Grosso";25;2010;6
"Apiacás";"Mato Grosso";25;2010;0
"Apiacás";"Mato Grosso";25;2010;0
"Juara";"Mato Grosso";26;2010;0
"Juara";"Mato Grosso";26;2010;7
"São João do Araguaia";"Pará";27;2010;0
"Abel Figueiredo";"Pará";27;2010;0
"São Domingos do Araguaia";"Pará";27;2010;15
"Abel Figueiredo";"Pará";27;2010;0
"Abel Figueiredo";"Pará";27;2010;7
"Itaguatins";"Tocantins";28;2010;0
"Santa Luzia";"Maranhão";28;2010;10
"São Miguel do Tocantins";"Tocantins";28;2010;0
"Correia Pinto";"Santa Catarina";29;2010;5
"Colméia";"Tocantins";30;2010;20
"Ananás";"Tocantins";30;2010;0
"Muricilândia";"Tocantins";30;2010;0
"Água Azul do Norte";"Pará";31;2010;32
"São Félix do Xingu";"Pará";31;2010;8
"Medicilândia";"Pará";32;2010;0
"Medicilândia";"Pará";32;2010;42
"Brasil Novo";"Pará";32;2010;0
"São Félix do Xingu";"Pará";33;2010;1
"São Félix do Xingu";"Pará";33;2010;3
"São Félix do Xingu";"Pará";33;2010;4
"São Félix do Xingu";"Pará";33;2010;2
"São Félix do Xingu";"Pará";33;2010;4
"Indiavaí";"Mato Grosso";34;2010;0
"Indiavaí";"Mato Grosso";34;2010;0
"Pontes e Lacerda";"Mato Grosso";34;2010;0
"Paracatu";"Minas Gerais";35;2010;5
"Lábrea";"Amazonas";36;2010;0
"Lábrea";"Amazonas";36;2010;0
"Lábrea";"Amazonas";36;2010;9
"Porto Velho";"Rondônia";36;2010;4
"Nova Bandeirantes";"Mato Grosso";37;2010;5
"Nova Canaã do Norte";"Mato Grosso";37;2010;0
"Nova Mutum";"Mato Grosso";37;2010;0
"Canoinhas";"Santa Catarina";38;2010;0
"Canoinhas";"Santa Catarina";38;2010;5
